Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
0,0,14/02/2018 08:31,112641719,3,0,0,0,0,0,0,0,0,0,0,0,0,0.026633116,56320859.5,139.3000359,56320958,56320761,112641719,56320859.5,139.3000359,56320958,56320761,0,0,0,0,0,0,0,0,0,0,0,0.026633116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,-1,-1,0,0,0,0,0,0,56320859.5,139.3000359,56320958,56320761,Benign
0,0,14/02/2018 08:33,112641466,3,0,0,0,0,0,0,0,0,0,0,0,0,0.026633176,56320733,114.5512986,56320814,56320652,112641466,56320733,114.5512986,56320814,56320652,0,0,0,0,0,0,0,0,0,0,0,0.026633176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,-1,-1,0,0,0,0,0,0,56320733,114.5512986,56320814,56320652,Benign
0,0,14/02/2018 08:36,112638623,3,0,0,0,0,0,0,0,0,0,0,0,0,0.026633848,56319311.5,301.9345956,56319525,56319098,112638623,56319311.5,301.9345956,56319525,56319098,0,0,0,0,0,0,0,0,0,0,0,0.026633848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,-1,-1,0,0,0,0,0,0,56319311.5,301.9345956,56319525,56319098,Benign
22,6,14/02/2018 08:40,6453966,15,10,1239,2273,744,0,82.6,196.7412369,976,0,227.3,371.6778922,544.161528,3.873587187,268915.25,247443.779,673900,22,6453966,460997.5714,123109.4236,673900,229740,5637902,626433.5556,455082.2142,1167293,554,0,0,0,0,488,328,2.324152312,1.549434875,0,976,135.0769231,277.83476,77192.15385,0,0,0,1,0,0,0,0,0,140.48,82.6,227.3,0,0,0,0,0,0,15,1239,10,2273,65535,233,6,32,0,0,0,0,0,0,0,0,Benign
22,6,14/02/2018 08:40,8804066,14,11,1143,2209,744,0,81.64285714,203.7455454,976,0,200.8181818,362.2498635,380.7331749,2.839597068,366836.0833,511356.6097,1928102,21,8804066,677235.8462,532416.971,1928102,246924,7715481,771548.1,755543.0827,2174893,90,0,0,0,0,456,360,1.590174358,1.24942271,0,976,128.9230769,279.7630316,78267.35385,0,0,0,1,0,0,0,0,0,134.08,81.64285714,200.8181818,0,0,0,0,0,0,14,1143,11,2209,5808,233,6,32,0,0,0,0,0,0,0,0,Benign
22,6,14/02/2018 08:40,6989341,16,12,1239,2273,744,0,77.4375,190.8311536,976,0,189.4166667,347.6425694,502.4794183,4.006100146,258864.4815,291724.1479,951098,20,6989341,465956.0667,244363.8964,951098,265831,5980598,543690.7273,460713.5198,1254338,78,0,0,0,0,332,252,2.289200083,1.716900063,0,976,121.1034483,265.7086676,70601.09606,0,0,0,1,0,0,0,0,0,125.4285714,77.4375,189.4166667,0,0,0,0,0,0,16,1239,12,2273,5808,234,7,20,0,0,0,0,0,0,0,0,Benign
0,0,14/02/2018 08:39,112640480,3,0,0,0,0,0,0,0,0,0,0,0,0,0.026633409,56320240,203.646753,56320384,56320096,112640480,56320240,203.646753,56320384,56320096,0,0,0,0,0,0,0,0,0,0,0,0.026633409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,-1,-1,0,0,0,0,0,0,56320240,203.646753,56320384,56320096,Benign
0,0,14/02/2018 08:42,112641244,3,0,0,0,0,0,0,0,0,0,0,0,0,0.026633229,56320622,62.22539674,56320666,56320578,112641244,56320622,62.22539674,56320666,56320578,0,0,0,0,0,0,0,0,0,0,0,0.026633229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,-1,-1,0,0,0,0,0,0,56320622,62.22539674,56320666,56320578,Benign
80,6,14/02/2018 08:47,476513,5,3,211,463,211,0,42.2,94.36206865,463,0,154.3333333,267.3131746,1414.441998,16.78862906,68073.28571,115865.7927,237711,24,476513,119128.25,137379.9634,238470,108,238634,119317,167621.0767,237843,791,0,0,0,0,168,104,10.49289316,6.295735898,0,463,74.88888889,161.4058893,26051.86111,0,0,0,1,0,0,0,0,0,84.25,42.2,154.3333333,0,0,0,0,0,0,5,211,3,463,14600,219,1,32,0,0,0,0,0,0,0,0,Benign
80,6,14/02/2018 08:47,475048,5,3,220,472,220,0,44,98.38699101,472,0,157.3333333,272.5093271,1456.694902,16.8404035,67864,115746.9332,237494,15,475048,118762,137096.7596,237853,15,237516,118758,167472.5843,237179,337,0,0,0,0,168,104,10.52525219,6.315151311,0,472,76.88888889,165.0669898,27247.11111,0,0,0,1,0,0,0,0,0,86.5,44,157.3333333,0,0,0,0,0,0,5,220,3,472,14600,219,1,32,0,0,0,0,0,0,0,0,Benign
80,6,14/02/2018 08:47,474926,5,3,220,472,220,0,44,98.38699101,472,0,157.3333333,272.5093271,1457.069101,16.84472949,67846.57143,115645.7408,237162,15,474926,118731.5,136923.3658,237497,15,237732,118866,167663.5031,237422,310,0,0,0,0,168,104,10.52795593,6.316773561,0,472,76.88888889,165.0669898,27247.11111,0,0,0,1,0,0,0,0,0,86.5,44,157.3333333,0,0,0,0,0,0,5,220,3,472,14480,219,1,32,0,0,0,0,0,0,0,0,Benign
80,6,14/02/2018 08:47,477471,5,3,209,461,209,0,41.8,93.46764146,461,0,153.6666667,266.1584741,1403.226583,16.75494428,68210.14286,116178.2288,238389,17,477471,119367.75,137516.5082,238515,149,238887,119443.5,168454.7556,238559,328,0,0,0,0,168,104,10.47184017,6.283104105,0,461,74.44444444,160.5942956,25790.52778,0,0,0,1,0,0,0,0,0,83.75,41.8,153.6666667,0,0,0,0,0,0,5,209,3,461,14480,219,1,32,0,0,0,0,0,0,0,0,Benign
80,6,14/02/2018 08:47,512758,5,3,211,463,211,0,42.2,94.36206865,463,0,154.3333333,267.3131746,1314.460233,15.60190187,73251.14286,124959.4737,256188,10,512758,128189.5,148006.1061,256523,10,256563,128281.5,180935.1903,256222,341,0,0,0,0,168,104,9.75118867,5.850713202,0,463,74.88888889,161.4058893,26051.86111,0,0,0,1,0,0,0,0,0,84.25,42.2,154.3333333,0,0,0,0,0,0,5,211,3,463,14480,219,1,32,0,0,0,0,0,0,0,0,Benign
80,6,14/02/2018 08:47,476711,5,3,206,458,206,0,41.2,92.12600067,458,0,152.6666667,264.4264233,1392.877446,16.78165597,68101.57143,115977.2151,238034,16,476711,119177.75,137207.3656,238274,78,238033,119016.5,168007.8641,237816,217,0,0,0,0,168,104,10.48853498,6.293120989,0,458,73.77777778,159.3783061,25401.44444,0,0,0,1,0,0,0,0,0,83,41.2,152.6666667,0,0,0,0,0,0,5,206,3,458,14480,219,1,32,0,0,0,0,0,0,0,0,Benign
80,6,14/02/2018 08:47,476616,5,3,211,463,211,0,42.2,94.36206865,463,0,154.3333333,267.3131746,1414.136328,16.78500092,68088,115553.0733,237285,8,476616,119154,136576.9729,237558,8,237660,118830,167563.0939,237315,345,0,0,0,0,168,104,10.49062558,6.294375346,0,463,74.88888889,161.4058893,26051.86111,0,0,0,1,0,0,0,0,0,84.25,42.2,154.3333333,0,0,0,0,0,0,5,211,3,463,14480,219,1,32,0,0,0,0,0,0,0,0,Benign
80,6,14/02/2018 08:47,477161,5,3,211,463,211,0,42.2,94.36206865,463,0,154.3333333,267.3131746,1412.521141,16.76582956,68165.85714,116324.5305,238504,12,477161,119290.25,137729.5603,238719,12,238618,119309,168449.8058,238421,197,0,0,0,0,168,104,10.47864348,6.287186086,0,463,74.88888889,161.4058893,26051.86111,0,0,0,1,0,0,0,0,0,84.25,42.2,154.3333333,0,0,0,0,0,0,5,211,3,463,14480,219,1,32,0,0,0,0,0,0,0,0,Benign
80,6,14/02/2018 08:47,474670,5,3,214,466,214,0,42.8,95.70370944,466,0,155.3333333,269.0452254,1432.574209,16.85381423,67810,115371.2624,236717,15,474670,118667.5,136423.2214,236894,55,236992,118496,167297.2218,236793,199,0,0,0,0,168,104,10.53363389,6.320180336,0,466,75.55555556,162.624653,26446.77778,0,0,0,1,0,0,0,0,0,85,42.8,155.3333333,0,0,0,0,0,0,5,214,3,466,14480,219,1,32,0,0,0,0,0,0,0,0,Benign
80,6,14/02/2018 08:47,476608,5,3,209,461,209,0,41.8,93.46764146,461,0,153.6666667,266.1584741,1405.767423,16.78528266,68086.85714,116165.3577,238154,21,476608,119152,137536.3999,238349,28,238442,119221,168305.5561,238231,211,0,0,0,0,168,104,10.49080167,6.294480999,0,461,74.44444444,160.5942956,25790.52778,0,0,0,1,0,0,0,0,0,83.75,41.8,153.6666667,0,0,0,0,0,0,5,209,3,461,14480,219,1,32,0,0,0,0,0,0,0,0,Benign
80,6,14/02/2018 08:47,479249,5,3,215,467,215,0,43,96.15092303,467,0,155.6666667,269.6225757,1423.059829,16.69278392,68464.14286,116522.1855,239061,18,479249,119812.25,137797.5927,239270,21,239238,119619,168903.7684,239052,186,0,0,0,0,168,104,10.43298995,6.259793969,0,467,75.77777778,163.0312683,26579.19444,0,0,0,1,0,0,0,0,0,85.25,43,155.6666667,0,0,0,0,0,0,5,215,3,467,14480,219,1,32,0,0,0,0,0,0,0,0,Benign
80,6,14/02/2018 08:47,475967,5,3,215,467,215,0,43,96.15092303,467,0,155.6666667,269.6225757,1432.872447,16.80788794,67995.28571,115929.0811,237703,16,475967,118991.75,137195.538,237904,21,237915,118957.5,167975.3372,237734,181,0,0,0,0,168,104,10.50492996,6.302957978,0,467,75.77777778,163.0312683,26579.19444,0,0,0,1,0,0,0,0,0,85.25,43,155.6666667,0,0,0,0,0,0,5,215,3,467,14480,219,1,32,0,0,0,0,0,0,0,0,Benign
80,6,14/02/2018 08:47,477314,5,3,215,467,215,0,43,96.15092303,467,0,155.6666667,269.6225757,1428.828821,16.76045538,68187.71429,116366.2974,238580,6,477314,119328.5,137774.2555,238694,6,238799,119399.5,168584.8632,238607,192,0,0,0,0,168,104,10.47528461,6.285170768,0,467,75.77777778,163.0312683,26579.19444,0,0,0,1,0,0,0,0,0,85.25,43,155.6666667,0,0,0,0,0,0,5,215,3,467,14480,219,1,32,0,0,0,0,0,0,0,0,Benign
80,6,14/02/2018 08:47,512063,5,3,215,467,215,0,43,96.15092303,467,0,155.6666667,269.6225757,1331.867368,15.62307763,73151.85714,124592.6953,255566,19,512063,128015.75,147377.9371,255771,20,256458,128229,181088.6324,256278,180,0,0,0,0,168,104,9.764423518,5.858654111,0,467,75.77777778,163.0312683,26579.19444,0,0,0,1,0,0,0,0,0,85.25,43,155.6666667,0,0,0,0,0,0,5,215,3,467,14480,219,1,32,0,0,0,0,0,0,0,0,Benign
80,6,14/02/2018 08:47,476789,5,3,215,467,215,0,43,96.15092303,467,0,155.6666667,269.6225757,1430.402128,16.77891059,68112.71429,116221.1447,238336,10,476789,119197.25,137614.0355,238389,10,238585,119292.5,168401.0155,238370,215,0,0,0,0,168,104,10.48681912,6.29209147,0,467,75.77777778,163.0312683,26579.19444,0,0,0,1,0,0,0,0,0,85.25,43,155.6666667,0,0,0,0,0,0,5,215,3,467,14480,219,1,32,0,0,0,0,0,0,0,0,Benign
80,6,14/02/2018 08:47,530813,5,3,215,467,215,0,43,96.15092303,467,0,155.6666667,269.6225757,1284.821585,15.07122094,75830.42857,129270.254,265278,17,530813,132703.25,152977.4451,265301,17,265518,132759,187483.7062,265330,188,0,0,0,0,168,104,9.419513087,5.651707852,0,467,75.77777778,163.0312683,26579.19444,0,0,0,1,0,0,0,0,0,85.25,43,155.6666667,0,0,0,0,0,0,5,215,3,467,14480,219,1,32,0,0,0,0,0,0,0,0,Benign
80,6,14/02/2018 08:47,478007,5,3,216,468,216,0,43.2,96.59813663,468,0,156,270.199926,1430.941388,16.73615658,68286.71429,116521.3632,238871,14,478007,119501.75,137965.0904,239088,14,239086,119543,168784.9745,238892,194,0,0,0,0,168,104,10.46009786,6.276058719,0,468,76,163.4380617,26712,0,0,0,1,0,0,0,0,0,85.5,43.2,156,0,0,0,0,0,0,5,216,3,468,14480,219,1,32,0,0,0,0,0,0,0,0,Benign
80,6,14/02/2018 08:47,477602,5,3,215,467,215,0,43,96.15092303,467,0,155.6666667,269.6225757,1427.96722,16.75034862,68228.85714,116321.4952,238515,19,477602,119400.5,137657.1292,238692,19,239063,119531.5,168798.4095,238890,173,0,0,0,0,168,104,10.46896789,6.281380731,0,467,75.77777778,163.0312683,26579.19444,0,0,0,1,0,0,0,0,0,85.25,43,155.6666667,0,0,0,0,0,0,5,215,3,467,14480,219,1,32,0,0,0,0,0,0,0,0,Benign
80,6,14/02/2018 08:47,474230,5,3,215,467,215,0,43,96.15092303,467,0,155.6666667,269.6225757,1438.120743,16.86945153,67747.14286,115528.0967,237302,10,474230,118557.5,136770.5133,237325,10,237572,118786,167660.6747,237340,232,0,0,0,0,168,104,10.54340721,6.326044325,0,467,75.77777778,163.0312683,26579.19444,0,0,0,1,0,0,0,0,0,85.25,43,155.6666667,0,0,0,0,0,0,5,215,3,467,14480,219,1,32,0,0,0,0,0,0,0,0,Benign
80,6,14/02/2018 08:47,486451,5,3,214,466,214,0,42.8,95.70370944,466,0,155.3333333,269.0452254,1397.879745,16.44564406,69493,118598.2723,243823,7,486451,121612.75,140415.1168,243842,7,244037,122018.5,172295.7596,243850,187,0,0,0,0,168,104,10.27852754,6.167116524,0,466,75.55555556,162.624653,26446.77778,0,0,0,1,0,0,0,0,0,85,42.8,155.3333333,0,0,0,0,0,0,5,214,3,466,14480,219,1,32,0,0,0,0,0,0,0,0,Benign
80,6,14/02/2018 08:47,476455,5,3,214,466,214,0,42.8,95.70370944,466,0,155.3333333,269.0452254,1427.207186,16.79067278,68065,116132.4777,238080,15,476455,119113.75,137520.5543,238354,16,238341,119170.5,168195.9545,238103,238,0,0,0,0,168,104,10.49417049,6.296502293,0,466,75.55555556,162.624653,26446.77778,0,0,0,1,0,0,0,0,0,85,42.8,155.3333333,0,0,0,0,0,0,5,214,3,466,14480,219,1,32,0,0,0,0,0,0,0,0,Benign
80,6,14/02/2018 08:47,515384,5,3,215,467,215,0,43,96.15092303,467,0,155.6666667,269.6225757,1323.285162,15.52240659,73626.28571,125642.4658,257553,20,515384,128846,148751.4297,257762,20,257799,128899.5,182015.6494,257604,195,0,0,0,0,168,104,9.701504121,5.820902473,0,467,75.77777778,163.0312683,26579.19444,0,0,0,1,0,0,0,0,0,85.25,43,155.6666667,0,0,0,0,0,0,5,215,3,467,14480,219,1,32,0,0,0,0,0,0,0,0,Benign
80,6,14/02/2018 08:47,511506,5,3,215,467,215,0,43,96.15092303,467,0,155.6666667,269.6225757,1333.317693,15.64009024,73072.28571,124689.2321,256153,9,511506,127876.5,147627.1817,256171,9,256398,128199,180998.1228,256184,214,0,0,0,0,168,104,9.775056402,5.865033841,0,467,75.77777778,163.0312683,26579.19444,0,0,0,1,0,0,0,0,0,85.25,43,155.6666667,0,0,0,0,0,0,5,215,3,467,14480,219,1,32,0,0,0,0,0,0,0,0,Benign
80,6,14/02/2018 08:47,525976,5,3,215,467,215,0,43,96.15092303,467,0,155.6666667,269.6225757,1296.637109,15.20981946,75139.42857,128232.1214,262910,9,525976,131494,151822.3413,263024,9,263149,131574.5,185784.5286,262944,205,0,0,0,0,168,104,9.506137162,5.703682297,0,467,75.77777778,163.0312683,26579.19444,0,0,0,1,0,0,0,0,0,85.25,43,155.6666667,0,0,0,0,0,0,5,215,3,467,14480,219,1,32,0,0,0,0,0,0,0,0,Benign
80,6,14/02/2018 08:47,484168,5,3,214,466,214,0,42.8,95.70370944,466,0,155.3333333,269.0452254,1404.471175,16.5231903,69166.85714,118031.0037,242059,15,484168,121042,139748.2101,242074,16,242302,121151,171044.8877,242098,204,0,0,0,0,168,104,10.32699394,6.196196362,0,466,75.55555556,162.624653,26446.77778,0,0,0,1,0,0,0,0,0,85,42.8,155.3333333,0,0,0,0,0,0,5,214,3,466,14480,219,1,32,0,0,0,0,0,0,0,0,Benign
80,6,14/02/2018 08:47,477025,5,3,214,466,214,0,42.8,95.70370944,466,0,155.3333333,269.0452254,1425.501808,16.77060951,68146.42857,116289.9733,238387,15,477025,119256.25,137667.7438,238558,15,238627,119313.5,168494.3536,238457,170,0,0,0,0,168,104,10.48163094,6.288978565,0,466,75.55555556,162.624653,26446.77778,0,0,0,1,0,0,0,0,0,85,42.8,155.3333333,0,0,0,0,0,0,5,214,3,466,14480,219,1,32,0,0,0,0,0,0,0,0,Benign
80,6,14/02/2018 08:47,472066,5,3,214,466,214,0,42.8,95.70370944,466,0,155.3333333,269.0452254,1440.476544,16.94678287,67438,115085.5699,235916,12,472066,118016.5,136253.5356,236120,12,236112,118056,166694.7668,235927,185,0,0,0,0,168,104,10.59173929,6.355043574,0,466,75.55555556,162.624653,26446.77778,0,0,0,1,0,0,0,0,0,85,42.8,155.3333333,0,0,0,0,0,0,5,214,3,466,14480,219,1,32,0,0,0,0,0,0,0,0,Benign
80,6,14/02/2018 08:47,475848,5,3,214,466,214,0,42.8,95.70370944,466,0,155.3333333,269.0452254,1429.027757,16.81209126,67978.28571,116005.8918,237796,7,475848,118962,137351.6488,238002,7,238004,119002,168034.0271,237820,184,0,0,0,0,168,104,10.50755704,6.304534221,0,466,75.55555556,162.624653,26446.77778,0,0,0,1,0,0,0,0,0,85,42.8,155.3333333,0,0,0,0,0,0,5,214,3,466,14480,219,1,32,0,0,0,0,0,0,0,0,Benign
80,6,14/02/2018 08:47,515972,5,3,214,466,214,0,42.8,95.70370944,466,0,155.3333333,269.0452254,1317.900971,15.50471731,73710.28571,125793.4426,257920,14,515972,128993,148929.8694,258131,14,258015,129007.5,182179.6982,257828,187,0,0,0,0,168,104,9.690448319,5.814268991,0,466,75.55555556,162.624653,26446.77778,0,0,0,1,0,0,0,0,0,85,42.8,155.3333333,0,0,0,0,0,0,5,214,3,466,14480,219,1,32,0,0,0,0,0,0,0,0,Benign
80,6,14/02/2018 08:47,481116,5,3,207,459,207,0,41.4,92.57321427,459,0,153,265.0037736,1384.281545,16.62800655,68730.85714,117104.4689,240176,10,481116,120279,138548.125,240383,10,240349,120174.5,169692.1925,240165,184,0,0,0,0,168,104,10.39250409,6.235502457,0,459,74,159.7834472,25530.75,0,0,0,1,0,0,0,0,0,83.25,41.4,153,0,0,0,0,0,0,5,207,3,459,14480,219,1,32,0,0,0,0,0,0,0,0,Benign
80,6,14/02/2018 08:47,473864,5,3,207,459,207,0,41.4,92.57321427,459,0,153,265.0037736,1405.466547,16.88248105,67694.85714,115516.3809,236821,15,473864,118466,136764.5006,237030,15,236990,118495,167315.6066,236805,185,0,0,0,0,168,104,10.55155066,6.330930394,0,459,74,159.7834472,25530.75,0,0,0,1,0,0,0,0,0,83.25,41.4,153,0,0,0,0,0,0,5,207,3,459,14480,219,1,32,0,0,0,0,0,0,0,0,Benign
80,6,14/02/2018 08:47,473511,5,3,203,455,203,0,40.6,90.78435989,455,0,151.6666667,262.6943725,1389.619249,16.89506685,67644.42857,115187.3306,236286,19,473511,118377.75,136250.6648,236443,20,237236,118618,167495.2117,237055,181,0,0,0,0,168,104,10.55941678,6.335650069,0,455,73.11111111,158.1640323,25015.86111,0,0,0,1,0,0,0,0,0,82.25,40.6,151.6666667,0,0,0,0,0,0,5,203,3,455,14480,219,1,32,0,0,0,0,0,0,0,0,Benign
80,6,14/02/2018 08:47,525965,5,3,207,459,207,0,41.4,92.57321427,459,0,153,265.0037736,1266.243952,15.21013756,75137.85714,128229.4287,262863,13,525965,131491.25,151808.2033,263035,13,263081,131540.5,185767.558,262898,183,0,0,0,0,168,104,9.506335973,5.703801584,0,459,74,159.7834472,25530.75,0,0,0,1,0,0,0,0,0,83.25,41.4,153,0,0,0,0,0,0,5,207,3,459,14480,219,1,32,0,0,0,0,0,0,0,0,Benign
0,0,14/02/2018 08:45,112640196,3,0,0,0,0,0,0,0,0,0,0,0,0,0.026633476,56320098,213.5462479,56320249,56319947,112640196,56320098,213.5462479,56320249,56319947,0,0,0,0,0,0,0,0,0,0,0,0.026633476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,-1,-1,0,0,0,0,0,0,56320098,213.5462479,56320249,56319947,Benign
0,0,14/02/2018 08:47,112640430,3,0,0,0,0,0,0,0,0,0,0,0,0,0.026633421,56320215,132.9360749,56320309,56320121,112640430,56320215,132.9360749,56320309,56320121,0,0,0,0,0,0,0,0,0,0,0,0.026633421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,-1,-1,0,0,0,0,0,0,56320215,132.9360749,56320309,56320121,Benign
0,0,14/02/2018 08:50,112640904,3,0,0,0,0,0,0,0,0,0,0,0,0,0.026633309,56320452,45.254834,56320484,56320420,112640904,56320452,45.254834,56320484,56320420,0,0,0,0,0,0,0,0,0,0,0,0.026633309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,-1,-1,0,0,0,0,0,0,56320452,45.254834,56320484,56320420,Benign
0,0,14/02/2018 08:53,112641065,3,0,0,0,0,0,0,0,0,0,0,0,0,0.026633271,56320532.5,79.90306627,56320589,56320476,112641065,56320532.5,79.90306627,56320589,56320476,0,0,0,0,0,0,0,0,0,0,0,0.026633271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,-1,-1,0,0,0,0,0,0,56320532.5,79.90306627,56320589,56320476,Benign
0,0,14/02/2018 08:56,112641155,3,0,0,0,0,0,0,0,0,0,0,0,0,0.02663325,56320577.5,283.5498193,56320778,56320377,112641155,56320577.5,283.5498193,56320778,56320377,0,0,0,0,0,0,0,0,0,0,0,0.02663325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,-1,-1,0,0,0,0,0,0,56320577.5,283.5498193,56320778,56320377,Benign
0,0,14/02/2018 08:59,112641311,3,0,0,0,0,0,0,0,0,0,0,0,0,0.026633213,56320655.5,88.38834765,56320718,56320593,112641311,56320655.5,88.38834765,56320718,56320593,0,0,0,0,0,0,0,0,0,0,0,0.026633213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,-1,-1,0,0,0,0,0,0,56320655.5,88.38834765,56320718,56320593,Benign
0,0,14/02/2018 09:01,112640750,3,0,0,0,0,0,0,0,0,0,0,0,0,0.026633345,56320375,185.2619767,56320506,56320244,112640750,56320375,185.2619767,56320506,56320244,0,0,0,0,0,0,0,0,0,0,0,0.026633345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,-1,-1,0,0,0,0,0,0,56320375,185.2619767,56320506,56320244,Benign
22,6,14/02/2018 09:05,2307108,14,12,1239,2273,744,0,88.5,202.3974574,976,0,189.4166667,347.6425694,1522.252101,11.26952011,92284.32,118603.5036,292552,10,2307108,177469.8462,124173.7566,295474,43,2053862,186714.7273,146463.8928,393904,74,0,0,0,0,456,392,6.068203136,5.201316974,0,976,130.0740741,273.5328592,74820.22507,0,0,0,1,0,0,0,0,0,135.0769231,88.5,189.4166667,0,0,0,0,0,0,14,1239,12,2273,14600,233,7,32,0,0,0,0,0,0,0,0,Benign
0,0,14/02/2018 09:04,112640660,3,0,0,0,0,0,0,0,0,0,0,0,0,0.026633367,56320330,84.85281374,56320390,56320270,112640660,56320330,84.85281374,56320390,56320270,0,0,0,0,0,0,0,0,0,0,0,0.026633367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,-1,-1,0,0,0,0,0,0,56320330,84.85281374,56320390,56320270,Benign
0,0,14/02/2018 09:07,112640642,3,0,0,0,0,0,0,0,0,0,0,0,0,0.026633371,56320321,53.74011537,56320359,56320283,112640642,56320321,53.74011537,56320359,56320283,0,0,0,0,0,0,0,0,0,0,0,0.026633371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,-1,-1,0,0,0,0,0,0,56320321,53.74011537,56320359,56320283,Benign
0,0,14/02/2018 09:10,112640974,3,0,0,0,0,0,0,0,0,0,0,0,0,0.026633292,56320487,29.69848481,56320508,56320466,112640974,56320487,29.69848481,56320508,56320466,0,0,0,0,0,0,0,0,0,0,0,0.026633292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,-1,-1,0,0,0,0,0,0,56320487,29.69848481,56320508,56320466,Benign
0,0,14/02/2018 09:13,112641062,3,0,0,0,0,0,0,0,0,0,0,0,0,0.026633272,56320531,193.747258,56320668,56320394,112641062,56320531,193.747258,56320668,56320394,0,0,0,0,0,0,0,0,0,0,0,0.026633272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,-1,-1,0,0,0,0,0,0,56320531,193.747258,56320668,56320394,Benign
0,0,14/02/2018 09:16,112641124,3,0,0,0,0,0,0,0,0,0,0,0,0,0.026633257,56320562,7.071067812,56320567,56320557,112641124,56320562,7.071067812,56320567,56320557,0,0,0,0,0,0,0,0,0,0,0,0.026633257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,-1,-1,0,0,0,0,0,0,56320562,7.071067812,56320567,56320557,Benign
