Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
80,6,22/02/2018 10:13,6499677,13,10,2333,4425,431,0,179.4615385,177.7332343,1048,0,442.5,350.7307451,1039.743975,3.538637382,295439.8636,1070418.437,4950591,19,1549086,129090.5,340448.2048,1207835,432,6499652,722183.5556,1657146.09,5000999,560,0,0,0,0,272,212,2.00009939,1.538537992,0,1048,281.5833333,291.9189758,85216.68841,0,0,1,1,0,0,0,1,0,293.826087,179.4615385,442.5,0,0,0,0,0,0,13,2333,10,4425,8192,269,7,20,0,0,0,0,0,0,0,0,Brute Force -Web
80,6,22/02/2018 10:13,46,2,0,0,0,0,0,0,0,0,0,0,0,0,43478.26087,46,0,46,46,46,46,0,46,46,0,0,0,0,0,0,0,0,0,40,0,43478.26087,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2050,-1,0,20,0,0,0,0,0,0,0,0,Brute Force -Web
80,6,22/02/2018 10:13,6397036,4,7,372,9375,372,0,93,186,2920,0,1339.285714,1494.52453,1523.674402,1.719546365,639703.6,1594659.083,5004563,2,1392473,464157.6667,802081.3405,1390321,310,6397022,1066170.333,2008158.805,5004994,2,0,0,0,0,92,152,0.625289587,1.094256778,0,2920,812.25,1285.542272,1652618.932,0,0,1,1,0,0,0,1,1,886.0909091,93,1339.285714,0,0,0,0,0,0,4,372,7,9375,8192,219,1,20,0,0,0,0,0,0,0,0,Brute Force -Web
80,6,22/02/2018 10:13,6,2,0,0,0,0,0,0,0,0,0,0,0,0,333333.3333,6,0,6,6,6,6,0,6,6,0,0,0,0,0,0,0,0,0,40,0,333333.3333,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2053,-1,0,20,0,0,0,0,0,0,0,0,Brute Force -Web
80,6,22/02/2018 10:13,5022507,4,4,599,364,599,0,149.75,299.5,364,0,91,182,191.7369154,1.592830035,717501,1867356.779,4952048,19,70459,23486.33333,36859.16741,65993,366,5022484,1674161.333,2884723.87,5005150,4462,0,0,0,0,92,92,0.796415017,0.796415017,0,599,107,220.2997957,48532,0,0,1,1,0,0,0,1,1,120.375,149.75,91,0,0,0,0,0,0,4,599,4,364,8192,220,1,20,0,0,0,0,0,0,0,0,Brute Force -Web
80,6,22/02/2018 10:13,21,2,0,0,0,0,0,0,0,0,0,0,0,0,95238.09524,21,0,21,21,21,21,0,21,21,0,0,0,0,0,0,0,0,0,40,0,95238.09524,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2051,-1,0,20,0,0,0,0,0,0,0,0,Brute Force -Web
80,6,22/02/2018 10:13,5028486,4,4,445,1068,445,0,111.25,222.5,1068,0,267,534,300.8857935,1.590936119,718355.1429,1862935.739,4942782,4,85704,28568,32936.37195,64716,257,5028482,1676160.667,2882984.486,5005127,2355,0,0,0,0,92,92,0.795468059,0.795468059,0,1068,168.1111111,368.1536515,135537.1111,0,0,1,1,0,0,0,1,1,189.125,111.25,267,0,0,0,0,0,0,4,445,4,1068,8192,219,1,20,0,0,0,0,0,0,0,0,Brute Force -Web
80,6,22/02/2018 10:13,7,2,0,0,0,0,0,0,0,0,0,0,0,0,285714.2857,7,0,7,7,7,7,0,7,7,0,0,0,0,0,0,0,0,0,40,0,285714.2857,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2048,-1,0,20,0,0,0,0,0,0,0,0,Brute Force -Web
80,6,22/02/2018 10:13,5045076,5,5,968,1172,603,0,193.6,278.1318033,808,0,234.4,357.2965155,424.1759688,1.982130695,560564,1644179.858,4944697,18,100379,25094.75,28858.77068,61324,321,5045053,1261263.25,2495673.37,5004711,2772,0,0,0,0,112,112,0.991065348,0.991065348,0,808,194.5454545,294.2561346,86586.67273,0,0,1,1,0,0,0,1,1,214,193.6,234.4,0,0,0,0,0,0,5,968,5,1172,8192,229,2,20,0,0,0,0,0,0,0,0,Brute Force -Web
80,6,22/02/2018 10:14,38,2,0,0,0,0,0,0,0,0,0,0,0,0,52631.57895,38,0,38,38,38,38,0,38,38,0,0,0,0,0,0,0,0,0,40,0,52631.57895,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2048,-1,0,20,0,0,0,0,0,0,0,0,Brute Force -Web
80,6,22/02/2018 10:13,11090639,16,13,3419,18083,598,0,213.6875,227.0849235,2920,0,1391,1176.624763,1938.752131,2.614817776,396094.25,1211863.267,5004758,4,6085881,405725.4,1086566.721,3931026,255,11090635,924219.5833,1764116.753,5005150,6,0,0,0,0,332,272,1.442658083,1.172159693,0,2920,716.7333333,980.1427388,960679.7885,0,0,1,1,0,0,0,1,0,741.4482759,213.6875,1391,0,0,0,0,0,0,16,3419,13,18083,8192,279,8,20,0,0,0,0,0,0,0,0,Brute Force -Web
80,6,22/02/2018 10:14,23,2,0,0,0,0,0,0,0,0,0,0,0,0,86956.52174,23,0,23,23,23,23,0,23,23,0,0,0,0,0,0,0,0,0,40,0,86956.52174,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2053,-1,0,20,0,0,0,0,0,0,0,0,Brute Force -Web
80,6,22/02/2018 10:15,5204054,10,12,2140,12777,399,0,214,185.6831231,2920,0,1064.75,1162.766382,2866.419142,4.227473427,247812.0952,1077718.536,4949479,3,254575,28286.11111,43088.28341,122846,42,5204031,473093.7273,1503615.25,5005164,3,0,0,0,0,212,252,1.921578831,2.305894597,0,2920,648.5652174,943.1622258,889554.9842,0,0,1,1,0,0,0,1,1,678.0454545,214,1064.75,0,0,0,0,0,0,10,2140,12,12777,8192,261,6,20,0,0,0,0,0,0,0,0,Brute Force -Web
80,6,22/02/2018 10:15,11,2,0,0,0,0,0,0,0,0,0,0,0,0,181818.1818,11,0,11,11,11,11,0,11,11,0,0,0,0,0,0,0,0,0,40,0,181818.1818,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2051,-1,0,20,0,0,0,0,0,0,0,0,Brute Force -Web
80,6,22/02/2018 10:15,5349647,3,1,0,0,0,0,0,0,0,0,0,0,0,0.747712887,1783215.667,3088313.567,5349293,14,5349647,2674823.5,3782271.039,5349293,354,0,0,0,0,0,0,0,0,0,72,32,0.560784665,0.186928222,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,1,0,8192,26883,0,20,0,0,0,0,0,0,0,0,Brute Force -Web
80,6,22/02/2018 10:17,5889375,3,1,0,0,0,0,0,0,0,0,0,0,0,0.679189218,1963125,3399774.989,5888847,14,5889375,2944687.5,4163670.295,5888847,528,0,0,0,0,0,0,0,0,0,72,32,0.509391913,0.169797305,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,1,0,8192,26883,0,20,0,0,0,0,0,0,0,0,Brute Force -Web
80,6,22/02/2018 10:17,8378498,22,17,5792,17553,646,0,263.2727273,262.5663058,2920,0,1032.529412,974.3916767,2786.298929,4.654772252,220486.7895,582383.3961,2152229,3,8378498,398976.0952,743471.5224,2152229,9,7345637,459102.3125,854320.9806,2218390,3,0,0,0,0,452,352,2.625768962,2.029003289,0,2920,583.625,762.2996143,581100.7019,0,0,1,1,0,0,0,1,0,598.5897436,263.2727273,1032.529412,0,0,0,0,0,0,22,5792,17,17553,8192,325,12,20,0,0,0,0,0,0,0,0,Brute Force -Web
80,6,22/02/2018 10:18,5833876,3,1,0,0,0,0,0,0,0,0,0,0,0,0.685650501,1944625.333,3367867.722,5833504,11,5833876,2916938,4124647.193,5833504,372,0,0,0,0,0,0,0,0,0,72,32,0.514237876,0.171412625,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,1,0,8192,26883,0,20,0,0,0,0,0,0,0,0,Brute Force -Web
80,6,22/02/2018 10:18,56042044,154,108,54442,81835,646,0,353.5194805,270.7849935,2920,0,757.7314815,515.0160801,2431.692177,4.675061459,214720.4751,414359.1699,1865436,3,56039649,366272.2157,487740.9959,1865436,126,56042020,523757.1963,562804.9407,1930579,3,0,0,0,0,3104,2172,2.747936888,1.927124571,0,2920,518.1634981,437.9035498,191759.519,0,0,1,1,0,0,0,1,0,520.1412214,353.5194805,757.7314815,0,0,0,0,0,0,154,54442,108,81835,8192,1223,101,20,0,0,0,0,0,0,0,0,Brute Force -Web
80,6,22/02/2018 10:19,875,2,0,0,0,0,0,0,0,0,0,0,0,0,2285.714286,875,0,875,875,875,875,0,875,875,0,0,0,0,0,0,0,0,0,40,0,2285.714286,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2047,-1,0,20,0,0,0,0,0,0,0,0,Brute Force -Web
80,6,22/02/2018 10:19,56684370,153,104,54995,72488,646,0,359.4444444,271.4171844,1068,0,697,368.2427966,2248.997387,4.533877681,221423.3203,417295.4146,1343315,9,56682644,372912.1316,487111.7838,1343315,83,56684348,550333.4757,560229.3513,1396556,36,0,0,0,0,3072,2092,2.699156752,1.834720929,0,1068,494.120155,355.4159906,126320.5264,0,0,1,1,0,0,0,1,0,496.0428016,359.4444444,697,0,0,0,0,0,0,153,54995,104,72488,8192,1228,101,20,0,0,0,0,0,0,0,0,Brute Force -Web
80,6,22/02/2018 10:20,142,2,0,0,0,0,0,0,0,0,0,0,0,0,14084.50704,142,0,142,142,142,142,0,142,142,0,0,0,0,0,0,0,0,0,40,0,14084.50704,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2047,-1,0,20,0,0,0,0,0,0,0,0,Brute Force -Web
80,6,22/02/2018 10:20,5008531,4,4,646,364,646,0,161.5,323,364,0,91,182,201.6559346,1.59727473,715504.4286,1863043.88,4940140,17,68391,22797,38515.06169,67270,405,5008508,1669502.667,2888796.082,5005197,1115,0,0,0,0,92,92,0.798637365,0.798637365,0,646,112.2222222,233.5774913,54558.44444,0,0,1,1,0,0,0,1,1,126.25,161.5,91,0,0,0,0,0,0,4,646,4,364,8192,221,1,20,0,0,0,0,0,0,0,0,Brute Force -Web
80,6,22/02/2018 10:20,12,2,0,0,0,0,0,0,0,0,0,0,0,0,166666.6667,12,0,12,12,12,12,0,12,12,0,0,0,0,0,0,0,0,0,40,0,166666.6667,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2051,-1,0,20,0,0,0,0,0,0,0,0,Brute Force -Web
